ID,brand,model,year,transmission,mileage,fuelType,mpg,engineSize,tax,tax(£),price
42,merc, SL CLASS,2014.0,Semi-Auto,25946.0,Petrol,28.5,5.5,565.0,,43990
43,merc, A Class,2019.0,Manual,333.0,Petrol,28.5,1.3,145.0,,22799
44,skoda, Fabia,2018.0,Manual,11129.0,Petrol,57.7,1.0,150.0,,6490
45,merc, SL CLASS,2019.0,Semi-Auto,6125.0,Petrol,36.7,3.0,145.0,,49480
46,vw, Polo,2019.0,Automatic,1509.0,Petrol,60.1,1.0,145.0,,17995
47,ford, Focus,2017.0,Manual,21236.0,Petrol,41.5,2.0,145.0,,17295
48,ford, Focus,2017.0,Manual,18471.0,Diesel,74.3,1.5,145.0,,11850
49,vw, Polo,2019.0,Manual,4754.0,Petrol,49.6,1.0,145.0,,15965
50,audi, A3,2014.0,Manual,31040.0,Diesel,67.3,2.0,20.0,,11499
51,vw, Jetta,2017.0,Automatic,11505.0,Diesel,67.3,2.0,145.0,,11999
52,toyota, Aygo,2016.0,Manual,12085.0,Petrol,69.0,1.0,0.0,,5295
53,merc, C Class,2017.0,Semi-Auto,45633.0,Diesel,61.4,2.1,145.0,,17127
54,audi, A1,2019.0,Manual,3980.0,Petrol,51.4,1.0,145.0,,19000
55,ford, Ka+,2019.0,Manual,2529.0,Petrol,43.5,1.2,145.0,,9950
56,ford, Fiesta,2020.0,Manual,1401.0,Petrol,58.9,1.0,145.0,,14500
57,hyundi, I20,2013.0,Manual,55901.0,Petrol,57.6,1.2,,30.0,4783
58,audi, A3,2016.0,Manual,41057.0,Diesel,65.7,2.0,20.0,,14998
59,merc, GLA Class,2018.0,Manual,20652.0,Diesel,64.2,2.1,145.0,,18749
60,ford, Fiesta,2016.0,Manual,24412.0,Petrol,65.7,1.0,0.0,,8000
61,skoda, Kodiaq,2019.0,Manual,1816.0,Diesel,52.3,2.0,145.0,,28490
62,ford, Fiesta,2020.0,Manual,1805.0,Petrol,56.5,1.0,145.0,,14995
63,merc, GLS Class,2017.0,Automatic,28424.0,Diesel,37.2,3.0,145.0,,46002
64,vw, Polo,2016.0,Manual,8405.0,Petrol,60.1,1.2,20.0,,10495
65,merc, GLC Class,2017.0,Semi-Auto,35297.0,Diesel,56.5,2.1,145.0,,26999
66,vw, Golf,2017.0,Manual,15267.0,Diesel,60.1,2.0,145.0,,18700
67,ford, Fiesta,2016.0,Manual,35275.0,Petrol,62.8,1.0,20.0,,9500
68,bmw, 3 Series,2017.0,Semi-Auto,32188.0,Diesel,57.6,2.0,150.0,,17980
69,skoda, Superb,2017.0,Semi-Auto,19263.0,Petrol,43.5,2.0,145.0,,18988
70,vw, T-Roc,2018.0,Manual,23017.0,Petrol,,1.5,145.0,,21290
71,toyota, Yaris,2017.0,Manual,18602.0,Petrol,58.0,1.3,30.0,,8950
72,bmw, X2,2019.0,Semi-Auto,5181.0,Diesel,48.7,2.0,145.0,,27275
73,audi, A6,2019.0,Automatic,10058.0,Diesel,47.9,2.0,145.0,,29250
74,bmw, 1 Series,2017.0,Automatic,52817.0,Diesel,68.9,2.0,20.0,,12295
75,skoda, Superb,2020.0,Semi-Auto,157.0,Petrol,38.7,2.0,145.0,,29874
76,merc, C Class,2019.0,Semi-Auto,1001.0,Diesel,61.4,2.0,145.0,,31999
77,bmw, 1 Series,2014.0,Manual,20003.0,Petrol,35.3,3.0,280.0,,16495
78,ford, Mustang,2018.0,Semi-Auto,6235.0,Petrol,28.8,2.3,145.0,,28750
79,merc, C Class,2019.0,Semi-Auto,10266.0,Petrol,29.4,3.0,145.0,,37500
80,ford, Fiesta,2013.0,Manual,49143.0,Petrol,65.7,1.0,0.0,,7000
81,ford, Fiesta,2017.0,Manual,23228.0,Diesel,88.3,1.5,145.0,,8991
82,vw, Up,2017.0,Manual,19810.0,Petrol,64.2,1.0,20.0,,7995
83,vw, Golf,2016.0,Semi-Auto,31813.0,Diesel,58.9,2.0,125.0,,16989
84,audi, A3,2017.0,Manual,49473.0,Diesel,65.7,2.0,145.0,,15495
85,merc, GLC Class,2019.0,Automatic,4110.0,Diesel,40.9,2.0,150.0,,34990
86,hyundi, I10,2017.0,Manual,25885.0,Petrol,60.1,1.0,,145.0,6881
87,vw, Polo,2020.0,Manual,108.0,Petrol,50.4,1.0,150.0,,17490
88,merc, E Class,2018.0,Semi-Auto,26573.0,Diesel,72.4,2.0,145.0,,21995
89,toyota, Corolla,2019.0,Manual,501.0,Petrol,39.2,1.2,145.0,,18995
90,bmw, 4 Series,2019.0,Semi-Auto,4026.0,Diesel,60.1,2.0,145.0,,22480
91,skoda, Kamiq,2019.0,Semi-Auto,2446.0,Petrol,44.1,1.5,145.0,,18990
92,audi, A5,2020.0,Automatic,1507.0,Diesel,51.4,2.0,145.0,,29888
93,audi, Q3,2017.0,Manual,16003.0,Diesel,56.5,2.0,145.0,,19200
94,vw, Tiguan,2017.0,Manual,18690.0,Diesel,58.9,2.0,145.0,,16999
95,merc, GLC Class,2019.0,Automatic,6229.0,Diesel,44.8,2.0,145.0,,31999
96,ford, Fiesta,2016.0,Manual,14333.0,Petrol,62.8,1.0,20.0,,9397
97,merc, GLC Class,2019.0,Semi-Auto,1794.0,Diesel,40.4,2.0,145.0,,45399
98,hyundi, I10,2019.0,Manual,3506.0,Petrol,49.6,1.0,,145.0,9250
99,merc, GL Class,2016.0,Manual,42328.0,Diesel,64.2,2.1,20.0,,15000
100,audi, A5,2015.0,Semi-Auto,52362.0,Diesel,60.1,2.0,125.0,,12490
101,vw, Polo,2017.0,Manual,19076.0,Petrol,60.1,1.2,145.0,,10955
102,ford, Kuga,2019.0,Automatic,7509.0,Petrol,31.0,1.5,145.0,,20490
103,ford, Fiesta,2018.0,Manual,15144.0,Petrol,65.7,1.0,145.0,,10495
104,bmw, 1 Series,2016.0,Manual,17402.0,Diesel,65.7,2.0,30.0,,13200
105,ford, Fiesta,2014.0,Manual,52540.0,Petrol,54.3,1.2,30.0,,6000
106,vw, Golf,2017.0,Manual,36009.0,Diesel,61.4,1.6,150.0,,10698
107,ford, S-MAX,2007.0,Manual,129007.0,Diesel,,1.8,200.0,,2995
108,hyundi, I10,2020.0,Manual,2008.0,Petrol,53.3,1.0,,145.0,12990
109,merc, A Class,2017.0,Manual,11465.0,Petrol,49.6,1.6,145.0,,16550
110,vw, Golf,2015.0,Manual,52373.0,Diesel,68.9,1.6,0.0,,8485
111,vw, Golf,2019.0,Manual,12117.0,Diesel,56.5,1.6,145.0,,13590
112,ford, Fiesta,2018.0,Manual,18452.0,Petrol,65.7,1.0,145.0,,11110
113,bmw, 2 Series,2016.0,Manual,24461.0,Diesel,60.1,2.0,125.0,,18495
114,skoda, Fabia,2019.0,Manual,3445.0,Petrol,57.7,1.0,150.0,,9890
115,vw, Up,2017.0,Manual,18587.0,Petrol,64.2,1.0,145.0,,6745
116,vw, Sharan,2018.0,Semi-Auto,10428.0,Diesel,41.5,2.0,145.0,,23642
117,audi, A1,2016.0,Manual,29054.0,Diesel,76.3,1.6,0.0,,11210
118,vw, Golf,2016.0,Semi-Auto,29194.0,Petrol,40.4,2.0,200.0,,19795
119,ford, Fiesta,2018.0,Manual,16511.0,Petrol,40.3,1.5,145.0,,14995
120,vw, Golf,2019.0,Semi-Auto,9673.0,Petrol,44.1,1.5,145.0,,20490
121,toyota, Yaris,2017.0,Automatic,12379.0,Hybrid,86.0,1.5,0.0,,12490
122,hyundi, I30,2015.0,Manual,36314.0,Petrol,48.7,1.4,,145.0,7798
123,ford, Focus,2017.0,Automatic,25676.0,Petrol,51.4,1.0,125.0,,9620
124,vw, T-Roc,2020.0,Manual,14.0,Petrol,44.1,1.5,150.0,,25480
125,audi, A3,2015.0,Manual,130008.0,Diesel,74.3,1.6,0.0,,6793
126,ford, Ka+,2016.0,Manual,23500.0,Petrol,57.7,1.2,30.0,,6991
127,merc, GLA Class,2016.0,Semi-Auto,47920.0,Diesel,64.2,2.1,20.0,,15991
128,bmw, 5 Series,2018.0,Automatic,28877.0,Petrol,37.7,3.0,145.0,,26691
129,merc, GLE Class,2019.0,Semi-Auto,1600.0,Diesel,32.8,2.9,145.0,,55599
130,audi, Q5,2016.0,Semi-Auto,46817.0,Diesel,45.6,3.0,205.0,,23690
131,hyundi, Tucson,2017.0,Manual,12024.0,Diesel,61.7,1.7,,30.0,13000
132,audi, RS3,2019.0,Semi-Auto,14.0,Petrol,30.1,2.5,145.0,,43785
133,audi, TT,2015.0,Manual,41328.0,Diesel,67.3,2.0,20.0,,14998
134,skoda, Kodiaq,2017.0,Manual,14022.0,Petrol,40.9,1.4,150.0,,19240
135,hyundi, Kona,2019.0,Automatic,7643.0,Hybrid,52.3,1.6,,135.0,22995
136,ford, KA,2012.0,Manual,65004.0,Petrol,57.7,1.2,30.0,,3499
137,vw, Touareg,2019.0,Semi-Auto,5887.0,Diesel,34.0,3.0,145.0,,41286
138,vw, Touran,2019.0,Semi-Auto,2008.0,Petrol,38.7,1.5,145.0,,23750
139,ford, EcoSport,2019.0,Manual,3424.0,Petrol,52.3,1.0,145.0,,16399
140,ford, Fiesta,2018.0,Manual,18006.0,Petrol,65.7,1.0,145.0,,9991
141,skoda, Yeti Outdoor,2016.0,Semi-Auto,25809.0,Diesel,51.4,2.0,160.0,,12495
142,vw, Polo,2020.0,Manual,101.0,Petrol,52.3,1.0,145.0,,16290
143,toyota, Aygo,2017.0,Manual,22457.0,Petrol,69.0,1.0,0.0,,6000
144,merc, GLC Class,2019.0,Semi-Auto,10911.0,Diesel,56.5,2.1,145.0,,30149
145,audi, Q2,2017.0,Manual,10963.0,Petrol,50.4,1.4,145.0,,21995
146,ford, Fiesta,2018.0,Manual,14192.0,Petrol,65.7,1.0,145.0,,11000
147,vw, Passat,2015.0,Manual,52615.0,Diesel,68.9,2.0,20.0,,9470
148,merc, B Class,2017.0,Manual,12350.0,Diesel,68.9,1.5,150.0,,14298
149,vw, Polo,2017.0,Manual,54402.0,Petrol,60.1,1.0,150.0,,7995
150,toyota, Aygo,2018.0,Semi-Auto,11507.0,Petrol,67.0,1.0,150.0,,9291
151,audi, TT,2020.0,Semi-Auto,2308.0,Petrol,40.9,2.0,150.0,,29000
152,merc, C Class,2018.0,Semi-Auto,22001.0,Diesel,61.4,2.0,145.0,,23499
153,vw, Polo,2017.0,Manual,11463.0,Petrol,61.4,1.4,20.0,,13800
154,hyundi, Kona,2018.0,Manual,27.0,Petrol,44.1,1.0,,145.0,16995
155,vw, Tiguan,2019.0,Automatic,15.0,Diesel,39.2,2.0,145.0,,32990
156,audi, A5,2020.0,Semi-Auto,84.0,Diesel,47.1,2.0,145.0,,27450
157,vw, Golf,2017.0,Manual,27340.0,Petrol,53.3,1.4,30.0,,12990
158,vw, Golf,2013.0,Manual,59947.0,Petrol,53.3,1.4,125.0,,7698
159,vw, Tiguan,2017.0,Semi-Auto,25845.0,Diesel,49.6,2.0,165.0,,18491
160,bmw, 1 Series,2018.0,Semi-Auto,17002.0,Diesel,67.3,2.0,145.0,,14995
161,ford, Fiesta,2017.0,Manual,23444.0,Petrol,65.7,1.0,150.0,,11200
162,hyundi, I30,2016.0,Manual,31031.0,Diesel,78.4,1.6,,0.0,8322
163,ford, Kuga,2018.0,Manual,10925.0,Petrol,39.2,1.5,145.0,,15991
164,audi, A1,2019.0,Automatic,11207.0,Petrol,47.1,1.0,145.0,,19990
165,ford, Fiesta,2014.0,Manual,25895.0,Petrol,47.9,1.6,150.0,,10000
166,skoda, Yeti,2014.0,Manual,41941.0,Diesel,48.7,2.0,205.0,,9980
167,merc, GLC Class,2016.0,Semi-Auto,33301.0,Diesel,56.5,2.1,125.0,,26780
168,merc, C Class,2017.0,Automatic,45286.0,Diesel,61.4,2.1,30.0,,16600
169,merc, A Class,2015.0,Automatic,19234.0,Diesel,70.6,2.1,20.0,,14599
170,skoda, Karoq,2019.0,Automatic,3441.0,Petrol,50.4,1.5,145.0,,22500
171,ford, Focus,2019.0,Automatic,3376.0,Diesel,50.4,1.5,145.0,,19500
172,vw, Polo,2016.0,Manual,6738.0,Diesel,83.1,1.4,0.0,,9990
173,merc, GLE Class,2017.0,Automatic,29480.0,Diesel,47.9,2.1,145.0,,29990
174,vw, Golf,2017.0,Manual,28196.0,Petrol,53.3,1.4,30.0,,12802
175,merc, CL Class,2016.0,Manual,43003.0,Diesel,67.3,2.1,20.0,,16490
176,hyundi, I30,2015.0,Manual,57543.0,Diesel,78.4,1.6,,0.0,6850
177,merc, A Class,2017.0,Manual,67270.0,Diesel,72.4,1.5,20.0,,11500
178,bmw, 3 Series,2020.0,Semi-Auto,20.0,Petrol,42.2,2.0,145.0,,23850
179,vw, Golf,2019.0,Automatic,4323.0,Petrol,43.5,1.5,145.0,,20490
180,toyota, Yaris,2014.0,Automatic,65049.0,Hybrid,76.3,1.5,0.0,,8975
181,bmw, X3,2020.0,Semi-Auto,6240.0,Diesel,36.7,3.0,150.0,,42990
182,bmw, 3 Series,2020.0,Semi-Auto,15.0,Diesel,50.4,2.0,145.0,,33995
183,skoda, Rapid,2015.0,Semi-Auto,26360.0,Petrol,48.7,1.4,150.0,,8500
184,ford, Fiesta,2016.0,Manual,5813.0,Petrol,65.7,1.0,0.0,,9995
185,ford, Focus,2016.0,Manual,42339.0,Diesel,74.3,1.5,0.0,,9699
186,bmw, X4,2019.0,Automatic,4004.0,Diesel,42.8,2.0,145.0,,37540
187,audi, A1,2016.0,Manual,28767.0,Petrol,55.4,1.4,30.0,,10600
188,skoda, Citigo,2016.0,Manual,14634.0,Petrol,62.8,1.0,20.0,,6950
189,toyota, Aygo,2018.0,Manual,4007.0,Petrol,56.5,1.0,145.0,,8655
190,audi, A1,2017.0,Manual,24507.0,Petrol,55.4,1.4,145.0,,14750
191,audi, A4,2016.0,Automatic,21134.0,Diesel,72.4,2.0,0.0,,17495
192,skoda, Superb,2019.0,Semi-Auto,22.0,Petrol,38.2,2.0,145.0,,25495
193,toyota, Corolla,2019.0,Automatic,7506.0,Hybrid,58.9,1.8,140.0,,24995
194,ford, Focus,2017.0,Manual,38520.0,Diesel,74.3,1.5,145.0,,11495
195,vw, T-Roc,2019.0,Manual,55.0,Petrol,42.2,1.5,145.0,,22150
196,ford, Fiesta,2019.0,Automatic,1486.0,Petrol,48.7,1.0,145.0,,16500
197,bmw, 2 Series,2015.0,Automatic,78917.0,Diesel,62.8,2.0,30.0,,11940
198,merc, C Class,2016.0,Semi-Auto,25006.0,Diesel,65.7,2.1,30.0,,24890
199,skoda, Superb,2019.0,Semi-Auto,14097.0,Petrol,36.7,1.5,150.0,,22990
200,vw, Passat,2015.0,Manual,79793.0,Diesel,76.3,1.6,0.0,,8000
201,vw, Tiguan,2015.0,Manual,30015.0,Diesel,48.7,2.0,165.0,,13995
202,vw, Polo,2016.0,Manual,50953.0,Diesel,83.1,1.4,0.0,,8895
203,skoda, Yeti,2016.0,Manual,47224.0,Petrol,51.4,1.2,125.0,,8707
204,merc, A Class,2015.0,Manual,26007.0,Diesel,70.6,1.5,20.0,,11490
205,merc, CL Class,2016.0,Semi-Auto,30052.0,Diesel,67.3,2.1,20.0,,16545
206,vw, Golf,2017.0,Semi-Auto,21727.0,Petrol,55.4,1.4,150.0,,14491
207,vw, Golf,2019.0,Automatic,3927.0,Petrol,36.2,2.0,145.0,,31890
208,vw, Golf,2019.0,Semi-Auto,14130.0,Petrol,42.2,1.5,145.0,,16450
209,vw, T-Cross,2020.0,Manual,18.0,Diesel,53.3,1.6,145.0,,19990
210,hyundi, Tucson,2018.0,Manual,23410.0,Petrol,44.8,1.6,,150.0,13990
211,audi, A6,2017.0,Semi-Auto,43448.0,Diesel,61.4,2.0,145.0,,19790
212,bmw, 3 Series,2018.0,Semi-Auto,32726.0,Petrol,48.7,2.0,150.0,,19498
213,vw, T-Cross,2020.0,Manual,236.0,Petrol,47.9,1.0,150.0,,20995
214,audi, A3,2017.0,Automatic,17927.0,Petrol,47.9,2.0,145.0,,19299
215,bmw, 2 Series,2018.0,Manual,11148.0,Petrol,,1.5,145.0,,16347
216,ford, Fiesta,2015.0,Semi-Auto,47565.0,Petrol,47.9,1.6,145.0,,7250
217,bmw, 5 Series,2013.0,Automatic,143630.0,Diesel,57.6,2.0,120.0,,8595
218,bmw, 2 Series,2016.0,Manual,48553.0,Petrol,47.1,1.5,145.0,,12800
219,vw, Tiguan,2017.0,Manual,28603.0,Diesel,58.9,2.0,145.0,,16798
220,bmw, X3,2019.0,Semi-Auto,7123.0,Diesel,54.3,2.0,145.0,,31990
221,merc, C Class,2019.0,Automatic,6283.0,Diesel,54.3,2.0,145.0,,28660
222,ford, Fiesta,2017.0,Manual,22713.0,Diesel,88.3,1.5,145.0,,9899
223,ford, Fiesta,2014.0,Manual,33157.0,Petrol,54.3,1.2,30.0,,6998
224,bmw, X3,2016.0,Automatic,70239.0,Diesel,47.9,3.0,200.0,,16900
225,vw, Golf,2018.0,Semi-Auto,10912.0,Diesel,72.4,1.4,145.0,,16042
226,skoda, Superb,2016.0,Manual,86196.0,Diesel,68.9,2.0,20.0,,9995
227,skoda, Octavia,2018.0,Manual,29813.0,Diesel,65.7,2.0,145.0,,15598
228,ford, Focus,2019.0,Manual,28.0,Petrol,58.9,1.0,145.0,,17500
229,ford, Fiesta,2016.0,Manual,28030.0,Petrol,65.7,1.0,0.0,,9995
230,vw, Up,2019.0,Manual,5002.0,Petrol,54.3,1.0,145.0,,10490
231,ford, Fiesta,2019.0,Manual,6758.0,Petrol,55.4,1.1,145.0,,12475
232,merc, S Class,2019.0,Automatic,2077.0,Diesel,52.3,2.9,145.0,,54999
233,skoda, Citigo,2017.0,Manual,24006.0,Petrol,64.2,1.0,145.0,,6800
234,merc, S Class,2014.0,Semi-Auto,13465.0,Diesel,48.7,3.0,205.0,,29772
235,ford, Fiesta,2015.0,Manual,35660.0,Petrol,65.7,1.0,0.0,,6700
236,merc, GLE Class,2019.0,Automatic,16672.0,Diesel,32.5,3.0,145.0,,49950
237,audi, Q5,2017.0,Automatic,30326.0,Petrol,40.4,2.0,145.0,,27300
238,merc, SL CLASS,2019.0,Automatic,1287.0,Petrol,36.7,3.0,145.0,,49899
239,toyota, Yaris,2018.0,Automatic,14207.0,Hybrid,76.3,1.5,135.0,,13995
240,toyota, Aygo,2019.0,Manual,4302.0,Petrol,57.7,1.0,145.0,,9170
241,ford, Fiesta,2017.0,Manual,13558.0,Petrol,65.7,1.0,145.0,,9985
242,audi, A4,2015.0,Manual,81795.0,Diesel,57.6,2.0,125.0,,12000
243,merc, A Class,2018.0,Automatic,8460.0,Diesel,65.7,1.5,145.0,,19699
244,ford, B-MAX,2016.0,Manual,14858.0,Diesel,74.4,1.5,0.0,,9498
245,skoda, Octavia,2019.0,Automatic,8856.0,Petrol,42.8,2.0,150.0,,18950
246,audi, Q7,2018.0,Semi-Auto,18004.0,Diesel,32.8,3.0,145.0,,45950
247,toyota, Auris,2016.0,Automatic,14764.0,Hybrid,78.5,1.8,0.0,,14000
248,bmw, 3 Series,2018.0,Automatic,28920.0,Diesel,64.2,2.0,145.0,,20500
249,audi, A5,2016.0,Manual,43006.0,Diesel,53.3,2.0,150.0,,15995
250,vw, Arteon,2019.0,Semi-Auto,9757.0,Diesel,50.4,2.0,145.0,,26886
251,audi, A7,2020.0,Semi-Auto,6152.0,Diesel,38.7,3.0,145.0,,42995
252,vw, Amarok,2019.0,Automatic,8502.0,Diesel,33.6,3.0,260.0,,34490
253,skoda, Superb,2020.0,Semi-Auto,12008.0,Hybrid,188.3,1.4,135.0,,28999
254,audi, A5,2019.0,Semi-Auto,7208.0,Petrol,40.4,2.0,145.0,,25995
255,bmw, 5 Series,2019.0,Automatic,20.0,Diesel,53.3,3.0,145.0,,33950
256,toyota, Yaris,2005.0,Manual,48839.0,Petrol,50.4,1.3,145.0,,2795
257,skoda, Superb,2019.0,Semi-Auto,8489.0,Petrol,36.7,1.5,150.0,,20800
258,toyota, RAV4,2019.0,Automatic,11976.0,Hybrid,49.6,2.5,140.0,,31995
259,hyundi, Tucson,2018.0,Semi-Auto,22984.0,Petrol,39.8,1.6,,145.0,17495
260,vw, Sharan,2013.0,Manual,59310.0,Diesel,49.6,2.0,165.0,,9990
261,vw, Golf,2016.0,Manual,48676.0,Diesel,74.3,1.6,0.0,,9899
262,vw, Polo,2015.0,Manual,27382.0,Petrol,60.1,1.2,20.0,,9522
263,ford, Ka+,2018.0,Manual,9360.0,Petrol,57.7,1.2,145.0,,7999
264,bmw, 3 Series,2017.0,Automatic,58915.0,Diesel,62.8,2.0,150.0,,15475
265,merc, GLC Class,2018.0,Semi-Auto,13521.0,Diesel,56.5,2.1,145.0,,27902
266,merc, GLE Class,2019.0,Automatic,10518.0,Diesel,32.5,3.0,145.0,,54885
267,, Fabia,2017.0,Manual,25775.0,Petrol,58.9,1.2,145.0,,9890
268,merc, GLC Class,2019.0,Semi-Auto,1511.0,Diesel,44.8,2.0,145.0,,37045
269,audi, A3,2019.0,Manual,7651.0,Diesel,49.6,1.6,145.0,,17900
270,bmw, 4 Series,2018.0,Automatic,11634.0,Petrol,45.6,2.0,145.0,,19999
271,hyundi, Tucson,2017.0,Manual,14694.0,Diesel,54.3,2.0,,145.0,15469
272,audi, A3,2018.0,Semi-Auto,11926.0,Petrol,42.2,1.5,150.0,,20000
273,merc, C Class,2016.0,Manual,40052.0,Diesel,70.6,1.6,20.0,,14649
274,bmw, 3 Series,2016.0,Manual,50001.0,Diesel,58.9,2.0,125.0,,13490
275,merc, E Class,2019.0,Semi-Auto,15565.0,Diesel,72.4,2.0,145.0,,25299
276,vw, Polo,2017.0,Manual,30009.0,Petrol,60.1,1.0,20.0,,8500
277,ford, Mustang,2017.0,Automatic,12001.0,Petrol,20.8,5.0,145.0,,32990
278,audi, A4,2019.0,Manual,506.0,Petrol,39.2,2.0,145.0,,25491
279,toyota, Auris,2016.0,Automatic,56689.0,Hybrid,70.6,1.8,0.0,,12500
280,hyundi, Tucson,2020.0,Manual,1457.0,Hybrid,47.9,1.6,,145.0,26000
281,vw, T-Roc,2020.0,Semi-Auto,2365.0,Diesel,49.6,2.0,145.0,,26688
282,bmw, X2,2020.0,Semi-Auto,12.0,Petrol,39.8,2.0,145.0,,31990
283,ford, Fiesta,2014.0,Manual,69007.0,Petrol,47.9,1.6,150.0,,7995
284,ford, Fiesta,2018.0,Manual,10929.0,Petrol,58.9,1.0,145.0,,13195
285,ford, Focus,2017.0,Manual,14679.0,Diesel,74.3,1.5,150.0,,12500
286,ford, Focus,2013.0,Manual,84221.0,Diesel,67.3,1.6,20.0,,5347
287,merc, C Class,2016.0,Semi-Auto,20808.0,Diesel,64.2,2.1,30.0,,21999
288,bmw, 5 Series,2019.0,Semi-Auto,1501.0,Petrol,47.9,2.0,145.0,,29140
289,bmw, 3 Series,2017.0,,21876.0,Diesel,53.3,3.0,145.0,,21972
290,merc, E Class,2019.0,Semi-Auto,1001.0,Hybrid,188.3,2.0,135.0,,40999
291,ford, Puma,2019.0,Manual,210.0,Petrol,50.4,1.0,145.0,,20800
292,ford, Kuga,2019.0,Manual,18259.0,Diesel,38.2,2.0,145.0,,17500
293,vw, Polo,2018.0,Manual,7329.0,Petrol,60.1,1.0,145.0,,13895
294,ford, Focus,2018.0,Manual,12079.0,Diesel,74.3,1.5,145.0,,12899
295,vw, Golf,2019.0,Manual,5156.0,Petrol,47.1,1.5,145.0,,17290
296,merc, A Class,2019.0,Semi-Auto,1003.0,Petrol,28.5,2.0,145.0,,24669
297,skoda, Fabia,2018.0,Manual,34434.0,Petrol,57.7,1.0,145.0,,6790
298,audi, A1,2015.0,Manual,20527.0,Diesel,80.7,1.6,0.0,,11800
299,toyota, Yaris,2019.0,Manual,5505.0,Petrol,47.9,1.5,145.0,,11750
300,ford, EcoSport,2018.0,Manual,25179.0,Petrol,54.3,1.0,145.0,,12499
